CODE FOYER;RANG LUMINAIRE;ARMOIRE;ADRESSE;DOMAINE;TYPE SUPPORT;NATURE SUPPORT;HAUTEUR SUPPORT;ETAT SUPPORT;OBSERVATION SUPPORT;COFFRET CLASSE II;MISE A LA TERRE MAT;TYPE CROSSE;SAILLIE CROSSE;ETAT CROSSE;OBSERVATION CROSSE;MARQUE LUMINAIRE;MODELE LUMINAIRE;HAUTEUR DE FEU;ETAT LUMINAIRE;TYPE SOURCE;NOMBRE DE LEDS;PUISSANCE ESTIMEE SOURCE;TYPE DE FIXATION;OBSERVATION LUMINAIRE;TYPE RESEAU;OBSERVATION RESEAU;X;Y
186/337;1;135;RUE MADAME DE STAEL;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98785124446598;42.6713382787249
186/291;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;COMATELEC;SAPHIR;7;MOYEN;SHP;;150;LATERALE;;SOUTERRAIN;;2.98797402170741;42.6714573265915
186/260;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;COMATELEC;SAPHIR;7;MOYEN;SHP;;150;LATERALE;;SOUTERRAIN;;2.98762986724061;42.6714882612191
186/259;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;COMATELEC;SAPHIR;7;MOYEN;SHP;;150;LATERALE;;SOUTERRAIN;;2.98735481657535;42.6714838967137
186/258;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;COMATELEC;SAPHIR;7;MOYEN;SHP;;150;LATERALE;;SOUTERRAIN;;2.98701448803332;42.6714369069284
186/257;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;COMATELEC;SAPHIR;7;MOYEN;SHP;;150;LATERALE;;SOUTERRAIN;;2.98673796233434;42.6713802482064
186/256;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;COMATELEC;SAPHIR;7;MOYEN;SHP;;150;LATERALE;;SOUTERRAIN;;2.98642685778515;42.6713173180814
186/255;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;COMATELEC;SAPHIR;7;MOYEN;SHP;;150;LATERALE;;SOUTERRAIN;;2.98612722741709;42.6712467625287
186/254;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;COMATELEC;SAPHIR;7;MOYEN;SHP;;150;LATERALE;;SOUTERRAIN;;2.98582844955023;42.6711472483041
186/12606;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;COMATELEC;SAPHIR;7;MOYEN;SHP;;150;LATERALE;;SOUTERRAIN;;2.98554538681094;42.6710537985645
186/338;1;135;RUE MADAME DE SEVIGNE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98616152150138;42.6711381163451
186/339;1;135;RUE MADAME DE SEVIGNE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98616922006337;42.670929962004
186/340;1;135;RUE MADAME DE SEVIGNE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98617835952307;42.6707591738683
186/341;1;135;RUE MADAME DE SEVIGNE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.9863061313975;42.6707112330808
186/342;1;135;RUE MADAME DE SEVIGNE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98656984622221;42.6707294423018
186/343;1;135;RUE MADAME DE SEVIGNE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.9868399211191;42.6707448338417
186/344;1;135;RUE MADAME DE SEVIGNE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.9869078238731;42.6708344042981
186/352;1;135;RUE MADAME DE SEVIGNE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98690083048863;42.6710403377218
186/353;1;135;RUE MADAME DE SEVIGNE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98689056903315;42.6712450703516
186/292;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;COMATELEC;SAPHIR;7;MOYEN;SHP;;150;LATERALE;;SOUTERRAIN;;2.98825187242144;42.6714133103071
186/325;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;COMATELEC;SAPHIR;7;MOYEN;SHP;;150;LATERALE;;SOUTERRAIN;;2.98855833268061;42.6713741968037
186/326;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;COMATELEC;SAPHIR;7;MOYEN;SHP;;150;LATERALE;;SOUTERRAIN;;2.98885305465396;42.6713510552359
186/327;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;COMATELEC;SAPHIR;7;MOYEN;SHP;;150;LATERALE;;SOUTERRAIN;;2.98912411949433;42.671320248675
